header,category,location,title,description,website_url,image_url,youtube_url
나의,노원구,,창동 차량기지 등 활용 서울대병원 건립,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,노원구,,1호선 지하화 및 지상부지 개발,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,노원구,,4호선 지하화 및 지상부지 개발,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,노원구,,공릉동 한전인재개발원 이전 추진,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,노원구,,중계연 인근 제2 학생 체육관 건립,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,노원구,,당현천 상류구간 생태하천 복원,,https://www.seoul2030.com/22,https://cdn.imweb.me/thumbnail/20220510/861d9eada227b.png,
나의,도봉구,,창동 K-Pop 전용 서울아레나 건립,,https://www.seoul2030.com/21,https://cdn.imweb.me/thumbnail/20220510/91d753322e38d.png,
나의,도봉구,,GTX-C 도봉산-창동 지하화 추진,,https://www.seoul2030.com/21,https://cdn.imweb.me/thumbnail/20220510/91d753322e38d.png,
나의,도봉구,,"4호선 급행화 추진 (창동역, 의정부역)",,https://www.seoul2030.com/21,https://cdn.imweb.me/thumbnail/20220510/91d753322e38d.png,
나의,도봉구,,우이-방학 경전철의 조속 완공,,https://www.seoul2030.com/21,https://cdn.imweb.me/thumbnail/20220510/91d753322e38d.png,
나의,동대문구,,이문고가차도 지하화,,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동대문구,,신이문역사 복합개발 추진,,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동대문구,,이문차량기지 및 연탄공장 이전 및 택지개발,,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동대문구,,분당선 열차 운행 확대(청량리-왕십리),,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동대문구,,동부간선도로 지하화 및 생태공원 조성,,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동대문구,,SRT 청량리역 연장 검토,,https://www.seoul2030.com/41,https://cdn.imweb.me/thumbnail/20220510/88e41b447b5a3.png,
나의,동작구,,노량진역사 현대화 및 종합개발,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,동작구,,흑석동 한강 생태공원 조성,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,동작구,,신안산선 조기완공 및 대림삼거리역 출입구 추가,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,동작구,,신안산선 역세권 공공주택 공급,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
